#,ChatRm,Date,ID,Time,Comment
140,JFEWE Fires,3/14,anlst_g7_g9,8:53,(en) 14 Mar 11
154,JFEWE Fires,3/14,7_4i_fso,8:55,(en) preassault fires update?
166,JFEWE Fires,3/14,7_7f_fi_bn_s3s2,8:59,"(en) Alpha 4/4 - x6(M119), Bravo - x2(M777)"
171,JFEWE Fires,3/14,7_71 fi_bn_s3s2,9:00,"(en) x1 EQ36, x2 LCMR"
179,JFEWE Fires,3/14,7_7f fib_cf_off,9:02,(en) game on
186,JFEWE Fires,3/14,7_7f_fi_bn_cdr,9:04,(en) @ 7_7f fib_cf_off - how did you post a picture of yourself?
192,JFEWE Fires,3/14,Icc_7_g3 _fso,9:06,(en) FMV is focused on the airfield. Division has asked for use to confirm BOA on the targeted buildings as part of the initial airfield strikes.
198,JFEWE Fires,3/14,Icc 7_g3 _fso,9:07,"(en) Predator NOSEY 41 shot down, 2356z, n37-49-39.5 w110-15-08.8, unk sam"
199,JFEWE Fires,3/14,7 4i_fso,9:07,(en) so no FMV on the airfield?
203,JFEWE Fires,3/14,7_4i_fso,9:08,(en) or different asset
380,JFEWE Fires,3/14,Icc_7_g3_fso,9:32,(en) Location of Skyguard north of airport: 12SWG 61953 91955.
381,JFEWE Fires,3/14,Icc_7_g3_fso,9:32,(en) USAF using SEAD to get target
398,JFEWE Fires,3/14,Icc_7_g3iso,9:35,(en) 1 KB 8411 12SWG 64728 90121 CROTALE 1 KB 8412 12SWG 62191 89175 CROTALE 1 KB 8413 12SWG 60422 89562 CROTALE 11(13 8414 12SWG 53847 90497 CROTALE
399,JFEWE Fires,3/14,Icc_7_g3iso,9:35,(en) USAF building package to take care of Cortale's
417,JFEWE Fires,3/14,7_7f fib_s3s2,9:38,(en) CFFZ 4 is full of enemy artillery when ever we can start firing.
423,JFEWE Fires,3/14,7 4i fso alt,9:39,(en) Fort Sill <3s FireSim.
424,JFEWE Fires,3/14,7 4i_fso,9:39,(en) s3 confirm you've seen 4ibct fires plan on cpof
429,JFEWE Fires,3/14,7_7f fib_s3s2,9:40,(en) Not in detail
433,JFEWE Fires,3/14,7_4i fso,9:41,"(en) ok youll see priorities allocations, restrictions but priority tgts most importantly by phase"
434,JFEWE Fires,3/14,7_7f fib_s3s2,9:41,(en) Thanks
456,JFEWE Fires,3/14,7 41 fso,9:45,(en) 4-4 fa s3 do you have cpof at your level?
461,JFEWE Fires,3/14,7_7f fib_s3s2,9:46,(en) High Priority Tgt #1: Skyguard located Noth of airport 12SWG 61953 91955
485,JFEWE Fires,3/14,lcc_7_g3 fso,9:52,(en) B-1 Strikes against Airfield has gone in
486,JFEWE Fires,3/14,icc_7_g3iso,9:52,(en) Awaiting BDA and egress reports
487,JFEWE Fires,3/14,7_4i_fso,9:52,(en) rgr. tgts?
526,JFEWE Fires,3/14,Icc_7_g3fso,10:00,(en) All ATO airfield targets were struck
533,JFEWE Fires,3/14,Icc_7_g3_fso,10:01,"(en) NFAs (en) ODA 9125,TACP07, 12SWG 70188 82688 NSWD 11,TACP13, 12SWG 33159 54336 ODA 9122,TACP05, 12SWG 55078 94758 ODA 9131,TACP08, 12SWG 54380 92004 ODA 9132,TACP10, 12SWG 70928 85498"
534,JFEWE Fires,3/14,Icc_7_g3fso,10:01,"(en) Followign ODAs and SEAL Dets infiled at 9:44, 500M Radius NFAs requested for all. Icc_7_sfle_cdr 09:57"
