#,ChatRm,Date,ID,Time,Comment,,,
252,2 MEB,14-Mar-2014,2meb_fso,9:17,(en) NSFS Firing on TFT: EN SQUAD AND TRUCK LOCATED AT GRID 12 SWG 60757 80644,,,
253,2 MEB,14-Mar-2014,10mc_cdr,9:17,(en) ASSIGN ELM 01 AND FLIGHT; 25% BOMB LOAD LINE 1: CAS MISSION REQUEST NUMBER: 14-HAMMER-709 LINE 2: TGT GRID: 12SWG 42671 65865 LINE 3: TGT DESC: POINT TARGET COLLECTION OF TACTICAL VEHICLES LINE 4: JTAC C/S: HAMMER 14. REPORT BDA TO JTAC. LINE 5: TOT: 1030 TIME NOW: 1017,,,
254,2 MEB,14-Mar-2014,2meb_fso,9:17,(en) Shot NSFS TFT: IL-220U LOCATED AT GRID 12 SWG 60659 78409,,,
271,2 MEB,14-Mar-2014,2meb fso,9:18,"(en) Shot NSFS TF WARLORD: (1) Art Btty in open at Helo insertion point, grid 12SWG 55388 86297",,,
279,2 MEB,14-Mar-2014,2meb_fso,9:19,(en) Shot NSFS TFT: 2A36 LOCATED AT GRID 12 SWG 61052 77639,,,
293,2 MEB,14-Mar-2014,2meb fso,9:20,(en) Shot NSFS TFT: IL-220U LOCATED AT GRID 12 SWG 60988 75692,,,
299,2 MEB,14-Mar-2014,2mehlso,9:21,(en) FireSim is down,,,
303,2 MEB,14-Mar-2014,10mc_cdr,9:22,(en) ASSIGN MOVER 05 AND FLIGHT; 25% BOMB LOAD LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO -600 LINE 2: TGT GRID: 12SWG 60659 78409 LINE 3: TGT DESC: POINT TARGET IL-220U SYSTEM LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5; TOT: 1035 TIME NOW: 1021,,,
316,2 MEB,14-Mar-2014,2meb_fso,9:24,(en) FireSim Is Up,,,
314,2 MEB,14-Mar-2014,Icc_7_socce_cdr,9:24,"(en) spot rep/DET 14,TACP09, 12SWG502 728/artillery in open, oriented west",,,
315,2 MEB,14-Mar-2014,Icc_7_socce_cdr,9:24,"(en) spot rpt-ODA 9130,TACP09, 12SWG 51100 78300/20 enemy vehicles and radar, 50+ troops",,,
318,2 MEB,14-Mar-2014,2meb_fso,9:25,"(en) Shot NSFS TACP09, 12SWG 51100 78300/-20 enemy vehicles and radar, - 50+ troops",,,
317,2 MEB,14-Mar-2014,2mebiso,9:25,"(en) Shot NSFS WG502 728/artillery in open, oriented west",,,
322,2 MEB,14-Mar-2014,2meb_fso,9:26,(en) FireSim is up,,,
323,2 MEB,14-Mar-2014,10mc_cdr,9:26,(en) ASSIGN SHAKER 55 AND FLIGHT; 25% BOMB LOAD LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO -601 LINE 2: TGT GRID: AREA TARGET DEFINED BY 12SWG 62461 74933 TO 62747 75188 TO 96797 73905 LINE 3: TGT DESC: UAZ-469 SYSTEM. LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5: TOT: 1035 TIME NOW: 1026,,,
337,2 MEB,14-Mar-2014,10mc_cdr,9:28,(en) RHINO 14 COPIES... REQUEST ADDITIONAL CAS SORTIES TO SUPPORT AMPHIBIOUS LANDINGS AND VERTICAL ASSAULT.,,,
352,2 MEB,14-Mar-2014,2meb fso,9:29,(en) Shot NSFS: TF Hammer: #713 Troops in Open (Hvy Wpns Team) 46509 69175,,,
358,2 MEB,14-Mar-2014,2meb_fso,9:30,(en) Shot NSFS: TF Hammer: #715 Sniper In Open 46823 68721,,,
359,2 MEB,14-Mar-2014,10mc_cdr,9:30,(en) RHINO 14 TO MAVERICK 55: REQUEST ADDITIONAL CAS MISSIONS TO SUPPORT CAS MISSION REQUESTS 14-TORNADO-700 AND 14-TORNADO-701 ASAP.,,,
370,2 MEB,14-Mar-2014,2meb fso,9:31,"(en) Shot NSFS: TF WARLORD: #509, (1) laser Designator in open @ grid 12SWG 56312 88696",,,
371,2 MEB,14-Mar-2014,2meb fso,9:31,(en) Shot NSFS: TFW @ grid 55320 86274 enemy Howitzer,,,
383,2 MEB,14-Mar-2014,10mc_cdr,9:33,(en) PEGASUS 55 FROM RHINO 14: CONTACT 2MEB_52 IN CHAT TO ADJUST UAV MISSION TRACKS. HOW COPY? OVER.,,,
384,2 MEB,14-Mar-2014,7 7a_lno_mc,9:33,(en) PEGASUS 55: RGR,,,
390,2 MEB,14-Mar-2014,10mc_cdr,9:34,"(en) TF TORNADO FROM RHINO 14: WORKING UP ACAS MISSION. NSFS CAN WORK THIS ONE, TOO, RHINO 14, OUT.",,,
403,2 MEB,14-Mar-2014,2meb_fso,9:36,(en) Shot NSFS: TFT: LOCATED A AT-2 UAS AT GRID 58082 75588,,,
410,2 MEB,14-Mar-2014,10mc_cdr,9:37,(en) MAVERICK 55: REQUEST ANY CAS MISSION ON STATION. LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO -602 LINE 2: TGT GRID: AREA TARGET DEFINED BY 12SWG 57788 69611 LINE 3: TGT DESC: AN/TSQ-179 COUNTER BATTERY RADAR AND TARGETING SYSTEM LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5: TOT: 1050 TIME NOW: 1036,,,
411,2 MEB,14-Mar-2014,2meb_fso,9:37,(en) Shot NSFS: Grid 58135 75348.,,,
415,2 MEB,14-Mar-2014,10mc_cdr,9:38,"(en) MAVERICK 55 FROM RHINO 14: FROM 2MEB FSO, AFFIRMATIVE, SURGE CAS ASSETS ISO TF RHINO, TF TORNADO, TF HAMMER AND TF WARLORD.",,,
416,2 MEB,14-Mar-2014,2meb_fso,9:38,(en) Shot NSFS: TFT: LOCATED A AT-2 UAS AT GRID 58082 75588,,,
421,2 MEB,14-Mar-2014,10mc_cdr,9:39,(en) MAVERICK 55: REQUEST ANY CAS MISSION ON STATION. LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO -602 LINE 2: TGT GRID: AREA TARGET DEFINED BY 12SWG 57788 69611 LINE 3: TGT DESC: AN/TSQ-179 COUNTER BATTERY RADAR AND TARGETING SYSTEM LINE 4: JTAC C/S: TORNADO 14. REPORT BDA TO JTAC. LINE 5: TOT: 1050 TIME NOW: 1036,,,
422,2 MEB,14-Mar-2014,2meb_fso,9:39,(en) Shot NSFS Grid 56251 73953,,,
428,2 MEB,14-Mar-2014,2meb_fso,9:40,(en) Shot NSFS: TFW: @ grid 56312 88696 laser designator in open,,,
431,2 MEB,14-Mar-2014,10mc_cdr,9:41,(en) MAVERICK 55: REQUEST ANY CAS MISSION ON STATION. LINE 1; CAS MISSION REQUEST NUMBER: 14-RHINO -810 LINE 2: TGT GRID: 12SWG 51100 78300 LINE 3: TGT DESC: 20 ENEMY VEHICLES WITH RADAR. 50 PLUS TROOPS IN OPEN. LINE 4: JTAC C/S: ODA TACP 09. REPORT BDA TO JTAC 09 LINE 5: TOT: 1055 TIME NOW: 1041,,,
448,2 MEB,14-Mar-2014,10mc_cdr,9:44,(en) CEDAR 03 ASSIGNED TO 14-RHINO-810. 50% BOMB LOAD. JTAC IS TACP 09. TOT 1055. TIME NOW IS 1043.,,,
453,2 MEB,14-Mar-2014,2meb_fso,9:45,"(en) TFW @ FSO (BDA), shots on Arty and Laser are showing on screen @ right location, but are missing tgts.",,,
454,2 MEB,14-Mar-2014,10mc_cdr,9:45,(en) ELM 03 ASSIGNED TO CAS MISSION REQUEST 14-TORNADO-602. JTAC IS TORNADO 14. TOT: 1050. TIME NOW: 1045,,,
463,2 MEB,14-Mar-2014,10mc_cdr,9:47,(en) ELM 03 EXPEND 25% ORDNANCE ON 14-TORNADO-602. TOT 1055. TIME NOW:,,,
475,2 MEB,14-Mar-2014,2meb_fso,9:50,"(en) TF WARLORD: Shot NSFS #5, (1) En M901 (jeep) open at beach landing point, grid 12SWG 52150 88579",,,
481,2 MEB,14-Mar-2014,Icc_7_socce_cdr,9:52,"(en) spot rep:ODA 9136,TACP12, 5 targets: appear to be recce and C2 125WG 50580 82930/2 x enemy veh, sqd 12SWG 53640 83740/ 2 x enemy veh, sqd 125WG 53640 84090/ 2 x enemy veh, sqd 12SWG 54080 84580/ 2 x enemy veh, sqd 125WG 54440 85210/ 2 x enemy veh, sqd",,,
497,2 MEB,14-Mar-2014,2meb_fso,9:57,"(en) NSFS Shot on 12SWG 50580 82930/2 x enemy veh, sqd and 12SWG 53640 84090/ 2 x enemy veh, sqd",,,
498,2 MEB,14-Mar-2014,2meb_fso,9:57,"(en) NSFS Shot 125WG 54080 84580/ 2 x enemy veh, sqd 12SWG 54440 85210/ 2 x enemy veh, sqd",,,
501,2 MEB,14-Mar-2014,2meb_fso,9:58,"(en) Shot NSFS: TFW @ FSO, REPEAT fire mission @ 12SWG 52150 88579, jeep in open",,,
502,2 MEB,14-Mar-2014,Icc_7 jagic_sad,9:58,"(en) CFF: JSOTF #4/ODA 9136,TACP12, 5 targets: appear to be recce and C2 12SWG 50580 82930/2 x enemy veh, sqd 12SWG 53640 83740/ 2 x enemy veh, sqd 12SWG 53640 84090/ 2 x enemy veh, sqd 12SWG 54080 84580/ 2 x enemy veh, sqd 125WG 54440 85210/ 2 x enemy veh, sqd",,,
509,2 MEB,14-Mar-2014,2meb_fso,9:59,(en) Shot NSFS: C2 12SWG 50580 82930/2 x enemy veh,,,
510,2 MEB,14-Mar-2014,2meb_fso,9:59,(en) Shot NSFS:sqd 125WG 53640 83740/,,,
517,2 MEB,14-Mar-2014,2meb_fso,10:00,"(en) Shot NSFS 2 x enemy veh, sqd 12SWG 53640 84090",,,
518,2 MEB,14-Mar-2014,2meb_fso,10:00,"(en) Disregard last, denied ROE",,,
528,2 MEB,14-Mar-2014,2meb_fso,10:01,(en) Shot NSFS:sqd 125WG 54080 84580,,,
529,2 MEB,14-Mar-2014,2meb_fso,10:01,"(en) Shot NSFS: sqd 12SWG 54440 85210/ 2 x enemy veh, sqd",,,
548,2 MEB,14-Mar-2014,2meb_fso,10:03,(en) Shot NSFS: TFW: request NSFS or air @ grid 54440 85210 2x enemy veh. w/squad inf.,,,
549,2 MEB,14-Mar-2014,10mc_cdr,10:03,(en) ASSIGN ELM 03 AND EXPEND ORDNANCE TO WINCHESTER LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO -812 LINE 2: TGT GRID: MULTIPLE POINT TARGET POINTS. TARGET POINT ONE - 12SWG 50580 82930; TARGET POINT TWO - 12SWG 53640 83740; TARGET POINT THREE — 12SWG 53640 84090; TARGET POINT FOUR —12SWG 54080 84580; TARGET POINT FIVE — 12SWG 54440 85210. LINE 3: TGT DESC: MULTIPLE ENEMY VEHICLES SUPPORTING MULTIPLE INFANTRY UNITS OF SQUAD STRENGTH. LINE 4: JTAC C/S: ODA TACP 12. REPORT BDA TO JTAC 12 LINE 5: TOT: 1115 TIME NOW: 1103,,,
561,2 MEB,14-Mar-2014,2meb_fso,10:04,(en) TFW: NSFS @grid 53640 84090 enemy motorized inf,,,
562,2 MEB,14-Mar-2014,2meb_fso,10:04,(en) Shot NSFS: TFW: @ grid 54080 84580 2x enemy veh. w/squad inf.,,,
572,2 MEB,14-Mar-2014,2meb_fso,10:07,(en) Shot NSFS: TFW: @ grid 53640 83740 2x enemy veh. w/squad inf.,,,
614,2 MEB,14-Mar-2014,2meb_fso,10:21,(en) NSFS Shot TFT: LOCATED KET-L AT 56022 59381,,,
617,2 MEB,14-Mar-2014,2meb_fso,10:22,(en) TFT: Shot NSFS UAZ-469 AT 56071 59290,,,
