#,ChatRm,Date,ID,Time,Comment,,,
1030,2 MEB,14-Mar-2014,10mc_cdr,11:59,(en) ELM 11 TO ATTACK ENEMY TOWED ARTILLERY TARGET LINE 1: CAS MISSION REQUEST NUMBER: 14-HAMMER-720 LINE 2: TGT GRID: 12SWG 51044 70240 LINE 3: TGT DESC: TOWED ARTILLERY WEAPONS SYSTEM IN FIRING POSTURE. ORIENTED WEST. LINE 4: JTAC C/S: HAMMER 14. REPORT BDA. LINE 5: TOT: 1310 TIME NOW: 1259,,,
1047,2 MEB,14-Mar-2014,2meb_fso,12:01,"(en) Rhino 14, Pegasus 55: Scan eagle down at 12SWG 63384 74925, C130 downed at 12SWG 48747 54802",,,
1048,2 MEB,14-Mar-2014,2mehiso,12:01,"(en) Rhino 14, Pegasus 55 : UH-1 downed at 12SWG 45165 72344",,,
1053,2 MEB,14-Mar-2014,10mc_cdr,12:03,(en) CEDAR 11 TO ATTACK ENEMY UAV SYSTEM LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-725 LINE 2: TGT GRID: 12SWG 62365 74789 LINE 3: TGT DESC: HOSTILE UAV SYSTEM IS ATTACKING TF TORNADO RECONNAISSANCE ELEMENT. LINE 4: JTAC C/S: TORNADO 14. REPORT BOA. LINE 5: TOT: ASAP TIME NOW: 1302,,,
1054,2 MEB,14-Mar-2014,2meb_mech_bn_cdr,12:03,"(en) TF Warlord--E Co, has landed (helo, S of port); F Co is feet dry.",,,
1056,2 MEB,14-Mar-2014,2meb_s3,12:04,(en) rgr,,,
1057,2 MEB,14-Mar-2014,10mccdr,12:04,"(en) MAVERICK 55..,TH1S IS A QUESTION... WHAT IS STATUS OF USING GATOR AIR DELIVERED MINES IN TF RHINO AO? THIS IS A QUESTION ABOUT RHINO 06 INTEREST 1N USING THE WEAPON. RSVP. RHINO 14",,,
1062,2 MEB,14-Mar-2014,2meb_fso,12:05,"(en) Rhino 14, Pegasus 55: AH-1 downed at 12SWG 51316 78045",,,
1063,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,12:05,(en) TFT: A Co AND B Co ARE IN THE ZONES,,,
1076,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,12:08,"(en) TF Hammer: ONESAF problems, AAVs are trecking across country in a single file as if they were still in the water, not obeying commands..„",,,
1081,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,12:09,(en) TFT: UNITS ARE IN THE ZONE BUT THEY ARE NOT RESPONDING TO COMMANDS,,,
1082,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,12:09,"(en) TF Hammer: LCACS still trecking cross country too, non-responsive",,,
1083,2 MEB,14-Mar-2014,10mc_cdr,12:09,(en) PEGASUS 55: AH-1 AND UH-1 ARE WEAPONS FREE.,,,
1091,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,12:11,(en) TFT: ONE COMPANY IS KNOW ON THE MOVE,,,
1096,2 MEB,14-Mar-2014,10mc_cdr,12:12,(en) MAVERICK 55: TF LEVEL AIR OFFICERS WOULD CLEAR FIRES AS PART OF THEIR ASSAULT PLAN. WE ALSO LACK GRANULARITY TO CLEAR FIRES IN THE EXPERIMENT.,,,
1097,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,12:12,(en) TFT: ONE COMPANY IS NOW ON THE MOVE,,,
1099,2 MEB,14-Mar-2014,10mc_cdr,12:13,"(en) MAVERICK 55...MY BUST... AH-1 AND UH-1 CONDUCT SELF-CLEARED FIRES ISO RESPECTIVE TASK FORCE COMMANDERS AND TF OPLANS,",,,
1101,2 MEB,14-Mar-2014,2meb_fso,12:14,(en) FireSim is down,,,
1103,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,12:15,"(en) TFT: BOTH COMPANIES ARE NOW ON THE MOVE, 1 RAVEN AIRBORN 3 TO FOLLOW SHORTLY.",,,
1104,2 MEB,14-Mar-2014,2meb_cdr,12:15,(en) Rgr,,,
1130,2 MEB,14-Mar-2014,10mc_cdr,12:26,(en) ASSIGNED TO MOVER 61. EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-832 LINE 2: TGT GRID: 12SWG 57980 79230 LINE 3: TGT DESC: BUNKERED MI-24 HIND AIRCRAFT LINE 4: JTAC C/S: PEGASUS 55 UAV TO ADJUST/OBSERVE. REPORT BDA. LINE 5: TOT: 1335 TIME NOW: 1326,,,
1135,2 MEB,14-Mar-2014,10mc_cdr,12:29,(en) MAVERICK 55 RELAY TO MOVER 61 TO CONTINUE MISSION WITHOUT PEGASUS 55. PERFORM SELF-CLEARANCE ON 14-RHINO-832. RHINO FSO CLEARS THE MISSION.,,,
1145,2 MEB,14-Mar-2014,2meb_fso,12:31,"(en) Using Air to attack the following Tgts: (2) t-72 63165 76090, GAZ 66 62365 74853, 122mm 65482 75686, Eitan 38303 37320, FWA 39046 39683, UAZ 56535 70571, Shadow 56568 70440, 155 mm 40153 63845",,,
1168,2 MEB,14-Mar-2014,2meb_fso,12:34,"(en) Rhino 14, Pegasus 55: 2 tanks 59208 84234, 122mm towed 50292 71799, (2) 122mm towed 55282 77647, UAV eitan 58114 75617, (3) t-72 at grids 63066 77401, 63512 76844, 64850 78249.",,,
1169,2 MEB,14-Mar-2014,2meb_mech_bn_cdr,12:34,(en),,,
1177,2 MEB,14-Mar-2014,2mebfso,12:35,(en) Shot NSFS: 2 tanks 59208 84234,,,
1183,2 MEB,14-Mar-2014,2meb_fso,12:36,(en) Shot NSFS: 122mm towed 50292 71799,,,
1184,2 MEB,14-Mar-2014,2meb_s2,12:36,"(en) (2) 152 mm 48076 71044, 1 fwa 38907 38648, (2) UAV Eitans 38907 39275",,,
1185,2 MEB,14-Mar-2014,10mc_cdr,12:36,(en) ASSIGNED TO SHAKER 11. EXPEND 25% ORDNANCE LINE i : CAS MISSION REQUEST NUMBER: 14-TORNADO-640 LINE 2: TGT GRID: 125WG 63123 77400 LINE 3: TGT DESC: ONE (1) TANGO-72. LINE 4: JTAC C/5: TORNADO 14. REPORT BDA. LINE 5: TOT: 1345 TIME NOW: 1336,,,
1186,2 MEB,14-Mar-2014,2meb_fso,12:36,(en) Shot NSFS: (2) 122mm towed 55282 77647,,,
1195,2 MEB,14-Mar-2014,10mc_cdr,12:38,(en) ASSIGNED TO SHAKER 11. EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-642 LINE 2: TGT GRID: 12SWG 63163 78557 LINE 3: TGT DESC: TWO (2) UAZ-469 ANTI-TANK SYSTEMS LINE 4: JTAC C/S: TORNADO 14. REPORT BDA. LINE 5: TOT: 1350 TIME NOW: 1338,,,
1196,2 MEB,14-Mar-2014,2mebfso,12:38,"(en) Engaging with Air Assets UAV eitan 58114 75617, (3) t-72 at grids 63066 77401, 63512 76844, 64850 78249",,,
1204,2 MEB,14-Mar-2014,2meb_heio_sqdn_cdr,12:39,(en) TF Hammer: so far it appears w,,,
1205,2 MEB,14-Mar-2014,2meb_fso,12:39,(en) Engaging with Air Assets: Arty rocket 58648 84978,,,
1206,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,12:39,(en) TF Hammer: that I have 10 AAV7 mobility kills. MTF,,,
1215,2 MEB,14-Mar-2014,10mc_cdr,12:40,(en) ASSIGNED TO CEDAR 11. EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-836 LINE 2: TGT GRID: 12SWG 58648 84978 LINE 3: TGT DESC: ARTILLERY ROCKET SYSTEM. LINE 4: JTAC C/S: PEGASUS 55 UAV TO ADJUST/OBSERVE. REPORT BDA. LINE 5: TOT: 1350 TIME NOW: 1339,,,
1216,2 MEB,14-Mar-2014,2meb_s3,12:40,(en) what killed them?,,,
1226,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,12:41,"(en) all by 12.7mm, 6 Mobility kills from 2600.2700 meters away",,,
1227,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,12:41,(en) TF HaMmer: 4 others from about 1000m away.,,,
1238,2 MEB,14-Mar-2014,10mc cdr,12:43,(en) ASSIGNED TO MOVER 61. EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-838 LINE 2: TGT GRID: 12SWG 58114 75617 LINE 3: TGT DESC: ONE (1) TANGO-72 TANK LINE 4: JTAC C/5: PEGASUS 55 UAV TO ADJUST/OBSERVE. REPORT BDA. LINE 5: TOT: 1400 TIME NOW: 1343,,,
1259,2 MEB,14-Mar-2014,10mc_cdr,12:47,"(en) ASSIGNED TO ELM 11. EXPEND 25% ORDNANCE EACH OF THREE TARGETS. LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-840 LINE 2: TGT GRID: 12SWG 63066 77401, 63512 76844 AND 64850 78249 LINE 3: TGT DESC: THREE (3) TANGO-72 TANKS IN PLATOON STRENGTH LINE 4: JTAC C/5: PEGASUS 55 UAV TO ADJUST/OBSERVE. REPORT BOA. LINE 5: TOT: 1400 TIME NOW: 1346",,,
1266,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,12:48,"(en) TF Hammer: correction, 13 AAVs all mobility kill. all from 12.7mm. ATB 7 at about 2600m, and the other 6 from about 1000m.",,,
1269,2 MEB,14-Mar-2014,10mc_cdr,12:49,(en) ASSIGNED TO SHAKER 11. EXPEND 25% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-842 LINE 2: TGT GRID: 125WG 56357 86944 LINE 3: TGT DESC: PLATOON STRENGTH INFANTRY UNIT HIDING INSIDE A BUILDING. LINE 4: JTAC C/S: WARLORD 14. REPORT BDA. LINE 5: TOT: 1400 TIME NOW: 1349,,,
1302,2 MEB,14-Mar-2014,10mc_cdr,12:53,"(en) ASSIGNED TO MOVER 61. EXPEND ALL ORDNANCE, LINE 1: CAS MISSION REQUEST NUMBER: 14-RH1NO-844 LINE 2: TGT GRID: 12SWG 55282 77647 LINE 3: TGT DESC: FIVE (5) 122MM ARTILLERY TUBES IN A CONVOY. LINE 4: JTAC C/S: PEGASUS 55 UAV EYES ON TO ADJUST. REPORT BDA. LINE 5: TOT: 1400 TIME NOW: 1353",,,
1333,2 MEB,14-Mar-2014,7_7a_lno_mc,12:57,"(en) Rhino 14, Pegasus 55: AH-1 en route to Rhino-844, will give BDA",,,
1368,2 MEB,14-Mar-2014,2meb_s2,13:03,"(en) (2) 152 mm 48076 71044, 1 two 38907 38648, (2) UAV Eitans 38907 39275",,,
1373,2 MEB,14-Mar-2014,2meb_fso,13:04,(en) Shot Arty: (2) 152 mm 48076 71044,,,
1380,2 MEB,14-Mar-2014,7_7a_lno_mc,13:05,(en) Pegasus 55: 14-Rhino-844- 122mm's have moved to 55600 87400. still alive and well,,,
1383,2 MEB,14-Mar-2014,lOrnc_cdr,13:06,(en) PEGASUS 55 ... RHINO 14 COPIES ASSIGNMENT OF AH-1 TO OBSERVE AND REPORT 14-RHINO-844 MISSION.,,,
1391,2 MEB,14-Mar-2014,10mc_cdr,13:07,(en) ASSIGNED TO ELM 13 EXPEND 25% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO-844 LONE 2: TGT GRID: 12SWG 55282 77647 LINE 3: TGT DESC: FIVE (5) 122MM ARTILLERY TUBES IN A CONVOY. LINE 4: JTAC C/5; PEGASUS 55 UAV EYES ON TO ADJUST. REPORT BDA. LINE 5: TOT: 1400 TIME NOW: 1353,,,
1398,2 MEB,14-Mar-2014,2meb_fso,13:08,(en) Shot NSFS: 122mm's have moved to 55600 87400.,,,
1408,2 MEB,14-Mar-2014,10mc_cdr,13:10,(en) ASSIGNED TO ELM 13. EXPEND 25% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-RH1N0-844 LINE 2: TGT GRID: 12SWG 5560 8740 LINE 3: TGT DESC: FIVE (5) 122MM ARTILLERY TUBES IN A CONVOY. LINE 4: JTAC C/S: PEGASUS 55 AND AH-1 AIRCRAFT HAVE EYES ON TO CLEAR FIRES AND TO ADJUST. REPORT BDA. LINE 5: TOT: 1415 TIME NOW: 1409,,,
1450,2 MEB,14-Mar-2014,7_7a_lno_mc,13:18,(en) Pegasus 55: 14-Rhino _840- Kill on all (3) 1-72's,,,
1477,2 MEB,14-Mar-2014,2meb_fso,13:21,(en) Shot NSFS TFT: 2 MT-12 ARTY PIECES AT THE FOLLOWING GRIDS 57821 79939 AND 58653 79933,,,
1484,2 MEB,14-Mar-2014,2meb_fso,13:22,(en) Shot NSFS: TFT: 1 MI-24 HIND ON GROUND AT GRID 57893 79227,,,
1496,2 MEB,14-Mar-2014,10mc_cdr,13:24,"(en) TF RHINO AVIATION FIRES RE-CAP AS OF 1424 HOURS: TF RHINO ISR UAV MISSIONS = 3, CAS MISSIONS = 14; TF WARLORD CAS MISSIONS = 1; TF TORNADO CAS MISSIONS = 9; TF HAMMER CAS MISSIONS = 8.",,,
1497,2 MEB,14-Mar-2014,2meb_fso,13:24,"(en) Pegasus 55: 14-Rhino_840- Kill on all (3) T-72's (3) t-72 at grids 63066 77401, 63512 76844, 64850 78249",,,
1503,2 MEB,14-Mar-2014,2meb_fso,13:25,(en) Shot NSFS: TFT: 2ND HIND HELICOPTER ALSO ON GROUND AT GRID 57276 79150,,,
1516,2 MEB,14-Mar-2014,2meb fso,13:27,(en) Engaging with Air: TFT: EN TRUCK CONVOY ( 6 VEHICLES) ON MSR. LEAD VEHICLE GRID 55214 78367 LAST VEHICLE 56288 78694.,,,
1548,2 MEB,14-Mar-2014,10mc_cdr,13:31,(en) ASSIGNED TO CEDAR 13. EXPEND 50% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-644 LINE 2: TGT GRID: LINEAR TARGET LEAD VEHCILE 12SWG 55214 78367 AND LAST VEHICLE AT 12SWG 56288 78694. LINE 3: TGT DESC: SlX (6) MILITARY VEHICLES IN A CONVOY. ON THE MOVE AND UNDER OBSERVATION OF AH-1 LINE 4: JTAC C/S: PEGASUS 55 AND AH-1 AIRCRAFT HAVE EYES ON TO CLEAR FIRES AND TO ADJUST. REPORT BDA. LINE 5: TOT: 1440 TIME NOW: 1431,,,
1549,2 MEB,14-Mar-2014,10mc_cdr,13:31,(en) ASSIGNED TO CEDAR 13. EXPEND 50% ORDNANCE. LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-644 LINE 2: TGT GRID: LINEAR TARGET LEAD VEHCILE 12SWG 55214 78367 AND LAST VEHICLE AT 12SWG 56288 78694. LINE 3: TGT DESC: SIX (6) MILITARY VEHICLES IN A CONVOY. ON THE MOVE AND UNDER OBSERVATION OF AH-1 LINE 4: JTAC C/S: PEGASUS 55 AND AH-1 AIRCRAFT HAVE EYES ON TO CLEAR FIRES AND TO ADJUST. REPORT BDA. LINE 5: TOT: 1440 TIME NOW: 1431,,,
1578,2 MEB,14-Mar-2014,Icc_7_jagic_sad,13:34,"(en) CFF REQUESTED: JSOTF #19/ODA 9132,TACP10 /12SWG 56619 84700/UAV platoon-30 pax, 4 x trucks, 7 x UAV's",,,
1633,2 MEB,14-Mar-2014,2meb_fso,13:42,(en) FireSim is down,,,
1647,2 MEB,14-Mar-2014,10mc_cdr,13:44,"(en) ASSIGNED TO ELM 13. EXPEND REMAINING ORDNANCE AND GUNS LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO- 560 LINE 2: TGT GRID: 12SWG 56619 84700 LINE 3: TGT DESC: UAV PLATOON STRENGTH ORGANIZATION WITH 30 PERSONNEL, FOUR (4) TRUCKS AND SEVEN (7) UAV SYSTEMS. LINE 4: JTAC C/S: TACP 10. REPORT BDA. LINE 5: TOT: 1250 TIME NOW: 1444",,,
1669,2 MEB,14-Mar-2014,2meb_fso,13:46,(en) Pegasus 55: Hind killed at 61703 78406,,,
1670,2 MEB,14-Mar-2014,10mc_cdr,13:46,(en) ASSIGN CEDAR 15 TO CAS MISSION 14-RHINO-560,,,
1683,2 MEB,14-Mar-2014,2meb_fso,13:48,(en) Engaging (2) T-72's on road at 64404 76494 with Air,,,
1694,2 MEB,14-Mar-2014,10mc_cdr,13:50,(en) ASSIGNED TO CEDAR 15. EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-RHINO- 860 LINE 2: TGT GRID: 12SWG 64404 76494 LINE 3: TGT DESC: TWO (2) TANGO-72 TANKS. PLATOON MINUS STRENGTH. LINE 4: JTAC C/S: PEGASUS 55 UAV SYSTEM SUPPORTED WITH AH-1 SYSTEMS. REPORT BDA. LINE 5: TOT: 1500 TIME NOW: 1450,,,
1701,2 MEB,14-Mar-2014,7_7a_lno_mc,13:51,(en) FT Rucker system is locked.,,,
1707,2 MEB,14-Mar-2014,2meb_helo sqdn_cdr,13:52,(en) TF Hammer: AAV75 11/44 Mobility kill. 13/969 Infantry KIA. That is it.,,,
1712,2 MEB,14-Mar-2014,10mc_cdr,13:53,(en) PEGASUS 55 ... RHINO 14 COPIES ON SYSTEM LOCK UP.,,,
1713,2 MEB,14-Mar-2014,2meb_mech_bn_cdr,13:53,"(en) TFW--SITREP: E Co (65%), F Co (59%), G Co (90%), Tnks (14/14), LAV (38/44)",,,
1714,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,13:53,(en) TFT: THE SIM IS SHOWING 106 DEAD AND 67 WOUNDED BUT WE HAVE ONLY TALLIED 28 DEAD. WE ARE TRYING TO IDENTIFY THE DISCREPANCY. NO EQUIPMENT LOSSES AT THIS POINT.,,,
1718,2 MEB,14-Mar-2014,10mc_cdr,13:54,"(en) AVIATION MISSION RE-CAP: TF RHINO ISR MISSIONS = 3, CAS = 16; TF TORNADO CAS = 11; TF WARLORD = 1; TF HAMMER CAS = 8.",,,
1719,2 MEB,14-Mar-2014,2meb_mech2_bn_cdr,13:54,(en) TFT: A Co 1 DEAD / B Co 0 DEAD / C Co 0 DEAD. THE REMAINDER OF THE CASULATIES COME FROM RECON AND ANGLICO (TOTAL 18 DEAD),,,
1734,2 MEB,14-Mar-2014,2meb cdr,13:57,"(en) Shock and Violence. Forward, Lads...",,,
1735,2 MEB,14-Mar-2014,Icc_7_jagic_sad,13:57,"(en) CFF: JSOTF #22/0DA 9133,TACP11, 2 targets: 125WG 57500 79500/2 or more Mi24 helps flying in vicinity of grid Liner target-- 10 x enemy vehicles and —50 pax along road from 12SWG 553 783 to 563 787",,,
1738,2 MEB,14-Mar-2014,Icc_71agic_sad,13:58,(en) CFF: JSOTF #22 is in MEB AOA,,,
1852,2 MEB,15-Mar-2014,7 4ifog_rep,8:08,(en) Marine LNO to 18th AB comm check,,,
1854,2 MEB,15-Mar-2014,7 4i_log_rep,8:09,(en) Any station comm check,,,
1855,2 MEB,15-Mar-2014,Icc_7 jagic_sad,8:09,(en) gt,,,
1856,2 MEB,15-Mar-2014,7_4i_log_rep,8:09,(en) rgr,,,
1857,2 MEB,15-Mar-2014,7 _7a Ino _ mc,8:09,(en) Pegasus 55: LC,,,
1875,2 MEB,15-Mar-2014,2meb_s3,8:13,(en) comm check,,,
1892,2 MEB,15-Mar-2014,2meb_fso,8:15,(en) Rgr/Ranger over,,,
1920,2 MEB,15-Mar-2014,10mc_cdr,8:21,(en) ASSET ASSIGNED: PEGASUS 55 UAV/UAS LINE 1: MISSION REQUEST NUMBER: 15- RHINO-400 LINE 2: TGT GRID: UAV TRACK 12SWG 56513 86528 TO 12SWG 56199 89516. LINE 3: TGT DESCRIPTION: RACETRACK PATTERN TO SUPPORT TF RHINO S-2 COLLECTION PLAN LINE 4: JTAC C/S: RHINO S-2 IN TRANSVERSE 1.5 CHAT ADDRESS IS 2meb_s2 LINE 5: TOT: 0900 EST. REQUEST CONTINUOUS TOS FOR DURATION OF EXERCISE.,,,
1927,2 MEB,15-Mar-2014,10mc_cdr,8:24,(en) ASSET ASSIGNED: PEGASUS 55 UAV/UAS LINE 1: MISSION REQUEST NUMBER: 15- RHINO-401 LINE 2: TGT GRID: UAV TRACK 12SWG 57657 85798 TO 12SWG 74788 65725. PURPOSE IS TO SCREEN MSR BRONCO FOR EN COUNTER-ATK OR REIN. LINE 3: TGT DESCRIPTION: RACETRACK PATTERN TO SUPPORT TF RHINO 5-2 COLLECTION PLAN LINE 4: JTAC C/S: RHINO S-2 IN TRANSVERSE 1.5 CHAT ADDRESS IS 2meb_s2 LINE 5: TOT: 0900 EST. REQUEST CONTINUOUS TOS FOR DURATION OF EXERCISE.,,,
1938,2 MEB,15-Mar-2014,10mc_cdr,8:26,(en) ASSET ASSIGNED: PEGASUS 55 UAV/UAS LINE 1: MISSION REQUEST NUMBER: 15- RHINO-402 LINE 2: TGT GRID: UAV TRACK 12SWG 54462 66567 TO 12SWG 63878 76927. PURPOSE IS TO SCREEN FOR EN COUNTER-ATK OR REIN. LINE 3: TGT DESCRIPTION: RACETRACK PATTERN TO SUPPORT TF RHINO 5-2 COLLECTION PLAN LINE 4: JTAC C/S: RHINO S-2 IN TRANSVERSE 1.5 CHAT ADDRESS IS 2meb_s2 LINE 5: TOT: 0900 EST. REQUEST CONTINUOUS TOS FOR DURATION OF EXERCISE.,,,
1944,2 MEB,15-Mar-2014,10mc_cdr,8:28,"(en) ASSET ASSIGNED: PEGASUS 55 UAV/UAS LINE 1: MISSION REQUEST NUMBER: 15- RHINO-403 LINE 2: TGT GRID: UAV TRACK 12SWG 57071 61706 CENTER POINT, RACETRACK PATTERN, FIVE (5) MILE LEGS. PURPOSE IS TO SCREEN FOR EN COUNTERATK OR REIN. LINE 3: TGT DESCRIPTION: RACETRACK PATTERN TO SUPPORT TF RHINO S2 COLLECTION PLAN LINE 4: JTAC C/S: RHINO S-2 IN TRANSVERSE 1.5 CHAT ADDRESS IS 2meb_s2 LINE 5: TOT: 0900 EST. REQUEST CONTINUOUS TOS FOR DURATION OF EXERCISE.",,,
1966,2 MEB,15-Mar-2014,2meb_helo_sqdn_cdr,8:31,(en) TF Hammer: requesting UAV support over TF Hammer AO along coast line from grids 39 64 to grid 5372.,,,
1968,2 MEB,15-Mar-2014,2meb_fso,8:32,(en) firesime is down,,,
1969,2 MEB,15-Mar-2014,2meb_s2,8:32,(en) TFH already requested UAV for your AO,,,
1970,2 MEB,15-Mar-2014,2meb_s2,8:32,(en) will cover York and Stones Bay AO,,,
1977,2 MEB,15-Mar-2014,2meb_helo_sqdn_cdr,8:33,(en) TF Hammer: rgr,,,
1995,2 MEB,15-Mar-2014,2meb_helo_sqdn_cdr,8:35,(en) TF Hammer: requesting Navy UAV support in Hammer AO from Rola at grid 38 64 to the East to grid 5764.,,,
2005,2 MEB,15-Mar-2014,2meb_s3,8:36,"(en) From H+4 to H+7, A/1-5 (Stryker) will airland using C-1305 (it will be replicated by EXCON as there are no C-1305 in any sim).",,,
2014,2 MEB,15-Mar-2014,2meb_mech_bn_cdr,8:37,"(en) TFW--Tanks are heading back to ship to refuel and resupply, via the sea. E Co is starting assult into port from the south.",,,
2069,2 MEB,15-Mar-2014,2meb_s2,8:44,"(en) 3x T-72s located E of TFT: 12swg 63161 77441, 12swg 64787 78348, 12swg 65615 79458",,,
2072,2 MEB,15-Mar-2014,2meb_s2,8:45,(en) another T-72 just spotted by UAV 12swg 63554 76279,,,
2082,2 MEB,15-Mar-2014,10mc_cdr,8:46,"(en) ASSET ASSIGNED: CFMCC TF 7011 NAVY UAV/UAS LINE 1: MISSION REQUEST NUMBER: 15-RHINO-404 LINE 2: TGT GRID: UAV TRACK 12SWG 38 64 CENTER POINT, RACETRACK PATTERN NORTH TO SOUTH, THREE (3) MILE LEGS. MAX ALTITUDE 4K AGL. DECONFLICT WITH JFACC ASOC. LINE 3: TGT DESCRIPTION: RACETRACK PATTERN TO SUPPORT TF RHINO S-2 COLLECTION PLAN LINE 4: JTAC C/S: HAMMER 14 AND TRANSVERSE 1.5 ADDRESS: 2mebhelo sqdn_cdr LINE 5: TOT: 1045 EST. REQUEST CONTINUOUS TOS FOR DURATION OF EXERCISE.",,,
2083,2 MEB,15-Mar-2014,2meb_s2,8:46,(en) another T-72 12swg 65179 79115 in support of 2519 Howitzer 12swg 65143 79361,,,
2094,2 MEB,15-Mar-2014,2meb_fso,8:47,(en) Rhino 14 yours for action another T-72 12swg 65179 79115 in support of 2519 Howitzer 12swg 65143 79361,,,
2095,2 MEB,15-Mar-2014,2meb_s2,8:47,(en) 2A36 Howitzer PLT 12swg 63260 75715 spotted by UAV danger close to TFT,,,
2105,2 MEB,15-Mar-2014,2meb_fso,8:48,(en) Rhino 14 yours for action 2A36 Howitzer PLT 12swg 63260 75715 spotted by UAV danger close to TFT,,,
2125,2 MEB,15-Mar-2014,10mc_cdr,8:52,"(en) ASSET ASSIGNED: ELM 15, 25% ORDNANCE LINE 1: MISSION REQUEST NUMBER: 15- TORNADO-200 LINE 2: TGT GRID: 12SWG 65179 79115 POINT TARGET IN ASSOCIATION WITH 15-TOR-201 LINE 3: TGT DESCRIPTION: ONE (1) TANGO-72 TANK LINE 4: JTAC C/S: TORNADO 14 LINE 5: TOT: 1000 EST TIME NOW: 0951",,,
2130,2 MEB,15-Mar-2014,10mc_cdr,8:53,"(en) ASSET ASSIGNED: ELM 15, 25% ORDNANCE LINE 1: MISSION REQUEST NUMBER: 15- TORNADO-201 LINE 2: TGT GRID: 12SWG 65143 79361 POINT TARGET IN ASSOCIATION WITH 15-TOR-200 LINE 3: TGT DESCRIPTION: ONE (1) 25 ONE-NINER (19) HOWITZER SYSTEM LINE 4: JTAC C/S: TORNADO 14 LINES: TOT: 1000 EST TIME NOW: 0951",,,
2135,2 MEB,15-Mar-2014,2meb_mech_bn_cdr,8:54,"(en) FLASH: FLASH: FLASH: CC1R REPORTABLE INCIDENT- BLUE ON BLUE, TF WARLORD 25 AAVS NEUTRALIZED OR DESTROYED BY ELEMENTS OF TF HAMMER, MORE INFO TO FOLLOW AFTER INVESTIGATION.",,,
2136,2 MEB,15-Mar-2014,2meb_helo_sqdn_cdr,8:54,"_INVESTIGATION. (en) TF Hammer: FLASH: FLASH: FLASH: CCIR REPORTABLE INCIDENT - BLUE ON BLUE, TF HAMMER AAVS NEUTRALIZED OR DESTROYED A NUMBER OF TF WARLORD AAVS, INITIAL ESTIMATES APPROXIMATELY 25 AAVS, MORE INFO TO FOLLOW AFTER",,,
2143,2 MEB,15-Mar-2014,9_525_107_b_cdr,8:56,(en) A CO 107MI MEB current grid 115 QE 2229109694,,,
2148,2 MEB,15-Mar-2014,2meb_s3,8:57,"(en) (en) We are requesting adjudication on this blue on blue, TF icons showed up in wrong AO and as red forces.",,,
2149,2 MEB,15-Mar-2014,10mc_cdr,8:57,"(en) ASSET ASSIGNED: CEDAR 15, EXPEND ORDNANCE TO DESTROY TARGET LINE 1: MISSION REQUEST NUMBER: 15-TORNADO-202 LINE 2: TGT GRID: THREE (3) POINT TARGETS. TARGET ONE 12SWG 63161 77441; TARGET TWO 12SWG 64787 78348; TARGET THREE 12SWG 65615 79458 LINE 3: TGT DESCRIPTION: THREE (3) TANGO-72 TANKS IN PLATOON STRENGTH LINE 4: JTAC C/S: TORNADO 14 LINE 5: TOT: 1005 EST TIME NOW: 0956",,,
2165,2 MEB,15-Mar-2014,10mc_cdr,9:01,"(en) ASSET ASSIGNED: SHAKER 13, EXPEND 25% ORDNANCE LINE 1: MISSION REQUEST NUMBER: 15-TORNADO-203 LINE 2: TGT GRID: ONE (1) POINT TARGET 12SWG 63260 75715 LINE 3: TGT DESCRIPTION: ONE (1) 2ALPHA36 HOWITZER SYSTEM. LINE 4: JTAC C/S: TORNADO 14, DANGER CLOSE LINE 5: TOT: 1010 EST TIME NOW: 1001",,,
